key,EN,DE,RU
WELCOME,Welcome to the Jack & Jill Memory Test.,Willkommen zum Johann & Johanna Gedächtnistest,Добро пожаловать к Джеку и Джилл! Этот тест измеряет рабочую память.
INSTRUCTION1c,"Jack turns every time you answer the following question: ""Does Jack hold the ball in the same hand as Jill?"". Before you answer, remember where the ball is.","Johann dreht sich jedesmal, nachdem du die folgende Frage beantwortet hast: ""Hatte Johann den Ball in der gleichen Hand wie Johanna?"" Bevor du antwortest, merke dir, auf welcher Position der Ball war.","Во время теста вам нужно отвечать на такой вопрос: Джек держит мяч в той же руке, что и Джилл, или в другой?. Каждый раз после вашего ответа Джек будет поворачиваться. Запомните положение его мяча на экране перед тем, как ответить на вопрос."
CONTINUE,Continue,Weiter,Продолжить
PROMPT,Click the orange spots where you saw the ball move to in the same order that Jack turned.,"Bitte klicke auf die Positionen der Bälle in der Reihenfolge, die du gesehen hast.","Нажимайте на оранжевые точки в том же порядке, в каком мяч Джека перемещался, когда Джек поворачивался."
FINISHED,You finished the Jack & Jill Memory Test.,Du hast den Johann & Johanna Gedächtnistest beendet.,Вы завершили тест!
PROGRESS_TEXT,Question {{num_question}} out of {{test_length}},Frage {{num_question}} von {{test_length}},Раунд {{num_question}} из {{test_length}}
ERR_INVALID_INPUT,Please enter only digits without blanks,Bitte nur Ziffern ohne Leerzeichen eingeben,"Пожалуйста, введите цифры без пробелов."
SAMPLE_HEADER,Example {{num_example}},Beispiel {{num_example}},Пример {{num_example}}
INVALID_ID,Your input was invalid. Please try again.,Deine Eingabe war nicht korrekt. Bitte versuche es nochmal.,Неверный ввод. Попробуйте еще раз.
FEEDBACK,Your remembered {{prop_correct_hand}}% of hands and {{prop_correct_position}}% of sequences correctly.,Du hast {{prop_correct_hand}}% der Ballhände und {{prop_correct_position}}% der Ballpositionen richtig.,"Вы верно определили, в какой руке Джек держит мяч {{prop_correct_hand}}% раз и верно вспомнили {{prop_correct_position}}% последовательностей."
CORRECT_HAND,You were right about which hand Jack had the ball in. ,Die Ballhände waren richtig.,"Вы верно ответили на вопрос о том, в какой руке Джек держит мяч."
INCORRECT_HAND,You were not right about which hand Jack had the ball in. ,Die Ballhände waren leider nicht alle richtig.,"Вы неверно ответили на вопрос о том, в какой руке Джек держит мяч."
CONTINUE_MAIN_TEST,Now we start the main test where you won’t receive any feedback. Have fun!,"Jetzt geht es weiter zum Haupttest, in dem du keine Rückmeldung mehr bekommst. Viel Spaß!","А теперь приступим к тесту. Во время теста вам не будет сообщаться, верно или неверно вы ответили. Удачи!"
ENTER_ID,Please enter your participant ID,Bitte gib Deine ID ein,Введите логин участника
ID_EXAMPLE,e.g. 10492817,z.B. 10492817,"например, 10492817"
INVALID_ENTRY,Please enter an invalid ID,Bitte eine gültige ID eingeben.,"Пожалуйста, проверьте правильность ввода логина."
CORRECT_POS,You were right about the order of where the ball was.,Die Reihenfolge der Ballpositionen war richtig.,Вы верно вспомнили последовательность перемещения мяча.
INCORRECT_POS,You were not right about the order of where the ball was.,Die Reihenfolge der Ballpositionen war leider nicht richtig.,Вы неверно вспомнили последовательность перемещения мяча.
SAME,Same,Gleich,В той же
DIFFERENT,Different,Verschieden,В другой
INSTRUCTION1a,Meet Jill on the left and Jack on the right of the screen. They each have a blue ball in one of their hands.,"Links steht Johanna, rechts steht Johann. Beide haben einen Ball.","Слева на экране вы видите Джилл, а справа – Джека. Они держат в руках синие мячи."
INSTRUCTION2a,"Jill always holds the ball in the right hand **from your view**, but Jack can hold the ball in the left or right hand.\\ Here he's got it in the left, different from Jill. Click ""different"" below and also remember the spot the ball is covering.","Johanna hält den Ball immer rechts (**von dir aus gesehen**), aber Johann kann ihn links oder rechts halten. Hier hat er ihn links, also nicht in der gleichen Hand wie Johanna.  Klicke auf ""Verschieden"" und merke dir die Ballposition.","Джилл всегда держит мяч в правой руке **с вашей точки зрения**, а Джек может держать мяч в любой руке. На этой картинке он держит мяч в левой, в отличие от Джилл. Нажмите «в другой» и запомните положение мяча."
